timestamp,expiry,spot,risk_free_rate,strike,bid,ask,T,type,volume,open_interest
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,780.0,0.6,0.63,0.016177676329718418,C,659,805
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,781.0,0.47,0.51,0.016177676329718418,C,248,166
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,782.0,0.38,0.41,0.016177676329718418,C,314,229
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,783.0,0.3,0.33,0.016177676329718418,C,291,98
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,784.0,0.23,0.26,0.016177676329718418,C,444,137
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,785.0,0.2,0.21,0.016177676329718418,C,143,362
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,786.0,0.16,0.17,0.016177676329718418,C,72,128
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,787.0,0.12,0.13,0.016177676329718418,C,46,137
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,788.0,0.1,0.11,0.016177676329718418,C,68,150
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,789.0,0.08,0.09,0.016177676329718418,C,17,78
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,790.0,0.07,0.08,0.016177676329718418,C,84,195
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,791.0,0.06,0.07,0.016177676329718418,C,45,121
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,792.0,0.05,0.06,0.016177676329718418,C,12,46
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,793.0,0.04,0.05,0.016177676329718418,C,38,58
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,794.0,0.04,0.05,0.016177676329718418,C,14,9
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,795.0,0.03,0.04,0.016177676329718418,C,29,601
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,796.0,0.03,0.04,0.016177676329718418,C,23,19
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,797.0,0.03,0.04,0.016177676329718418,C,14,12
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,798.0,0.03,0.04,0.016177676329718418,C,16,24
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,799.0,0.03,0.04,0.016177676329718418,C,45,7
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,800.0,0.02,0.03,0.016177676329718418,C,49,168
2026-08-27 02:17:00.799266+00:00,2026-09-02,766.0800170898438,0.04,801.0,0.02,0.03,0.016177676329718418,C,9,20
